,name_function,opcodes
0,entry0,":add byte [eax + eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:lcall 0:0x109ca:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x109ca], ch:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx - 0x5f54ab80], ah:jg 0x40114b:add byte [eax], al:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40116b:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [ebp + 0x7fa0ab54], ah:add byte [eax], al:add byte [ecx], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:mov al, byte [0xff56c686]:jg 0x401193:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x4011bb"
1,fcn.0040c04c,":add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx + 0x2a], dh:arpl word [ebx + 0x7fa0], bp:add byte [eax + 0xc], al:or dword [ecx], eax:add byte [eax], al:add byte [eax + eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40c0fb:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:cmp byte [edx + 0x67], 0xab:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40c123:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40c14b"
2,fcn.0040c06c,":add byte [eax + eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:lcall 0:0x109ca:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x109ca], ch:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx - 0x5f54a7b9], dl:jg 0x40c0fb:add byte [eax], al:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40c11b:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:pushal:inc ecx:pop eax:stosd dword es:[edi], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40c143:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40c16b"
3,sub.KERNEL32.DLL_TlsAlloc_3b6,":add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx - 0x77], dh:stosd dword es:[di], eax:mov al, byte [0x7f]:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e465:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rcl byte [eax + 0x63], 1:stosd dword es:[edi], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40e48d:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4b5"
4,sub.KERNEL32.DLL_TlsFree_3bc,":add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx - 0x54], al:stosd dword es:[di], eax:mov al, byte [0x7f]:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e46b:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rcl byte [eax + 0x63], 1:stosd dword es:[edi], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40e493:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4bb"
5,sub.KERNEL32.DLL_TlsGetValue_3c2,":add byte [eax + eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:lcall 0:0x109ca:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x109ca], ch:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add cl, ah:neg dword [eax - 0x55]:mov al, byte [0x7f]:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e471:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:pushal:inc edi:pop eax:stosd dword es:[edi], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40e499:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4c1"
6,sub.KERNEL32.DLL_TlsSetValue_3c8,":add byte [eax + eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:lcall 0:0x109ca:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x109ca], ch:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dl, byte [eax]:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx], dh:sbb al, 0x59:stosd dword es:[edi], eax:mov al, byte [0x7f]:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e477:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:pushal:inc edi:pop eax:stosd dword es:[edi], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40e49f:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4c7"
7,sub.KERNEL32.DLL_UnhandledExceptionFilter_3ce,":add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx], al:scasb al, byte es:[edi]:stosd dword es:[di], eax:mov al, byte [0x7f]:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e47d:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:inc eax:scasb al, byte es:[edi]:stosd dword es:[di], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40e4a5:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4cd"
8,sub.KERNEL32.DLL_VirtualAlloc_3d4,":add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add byte [ecx - 0x5f549832], ah:jg 0x40e463:add byte [eax], al:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e483:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:mov al, 0xab:stosd dword es:[di], eax:mov al, byte [0x7f]:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax - 0xa9397a], ah:jg 0x40e4ab:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4d3"
9,sub.KERNEL32.DLL_VirtualFree_3da,":add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [edx + 0x109ca], bl:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add dword [eax], eax:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], dl:add byte [eax], al:add byte [eax], al:cmp bh, 0xff:inc dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [eax + 0x108fa24], dl:add byte [eax], al:add cl, al:adc ebp, dword [eax - 0x55]:mov al, byte [0x7f]:inc eax:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:add byte [esi + 0x7fff56c6], 0:add byte [ecx - 0x6fc65b], dh:jg 0x40e489:add byte [eax], al:pushal:or al, 9:add dword [eax], eax:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:xor byte [esi + 0x7fa0ab67], ch:add byte [eax], al:add byte [ecx], al:add byte [eax], al:add byte [eax], al:add byte [eax], al:mov al, byte [0xff56c686]:jg 0x40e4b1:add ah, bl:nop:cmp dword [eax + 0x7fff], edx:add eax, dword [eax]:add byte [eax], al:add byte [eax], al:add byte [eax], al:add al, 0:add byte [eax], al:add byte [eax], al:add byte [eax], al:rol byte [esi + 0x7fff56c6], 1:add byte [eax], al:lahf:cmp eax, dword [edx]:jg 0x40e4d9"
